project,access,agent,timestamp,views
de.wikipedia.org,desktop,automated,2020-08-21,2253361
de.wikipedia.org,desktop,automated,2020-08-22,945546
de.wikipedia.org,desktop,automated,2020-08-23,1728319
de.wikipedia.org,desktop,automated,2020-08-24,2655152
de.wikipedia.org,desktop,automated,2020-08-25,1694652
de.wikipedia.org,desktop,automated,2020-08-26,1280722
de.wikipedia.org,desktop,automated,2020-08-27,1538915
de.wikipedia.org,desktop,automated,2020-08-28,1934227
de.wikipedia.org,desktop,automated,2020-08-29,1766337
de.wikipedia.org,desktop,automated,2020-08-30,1818258
de.wikipedia.org,desktop,automated,2020-08-31,3251905
de.wikipedia.org,desktop,automated,2020-09-01,2798481
de.wikipedia.org,desktop,automated,2020-09-02,1995850
de.wikipedia.org,desktop,automated,2020-09-03,1365393
de.wikipedia.org,desktop,automated,2020-09-04,1298494
de.wikipedia.org,desktop,automated,2020-09-05,1225539
de.wikipedia.org,desktop,automated,2020-09-06,1268756
de.wikipedia.org,desktop,automated,2020-09-07,1304052
de.wikipedia.org,desktop,automated,2020-09-08,1580151
de.wikipedia.org,desktop,automated,2020-09-09,2102818
de.wikipedia.org,desktop,automated,2020-09-10,1682574
de.wikipedia.org,desktop,automated,2020-09-11,1813871
de.wikipedia.org,desktop,automated,2020-09-12,1480438
de.wikipedia.org,desktop,automated,2020-09-13,1267625
de.wikipedia.org,desktop,automated,2020-09-14,1602062
de.wikipedia.org,desktop,automated,2020-09-15,1482452
de.wikipedia.org,desktop,automated,2020-09-16,1564398
de.wikipedia.org,desktop,automated,2020-09-17,1291437
de.wikipedia.org,desktop,automated,2020-09-18,1080762
de.wikipedia.org,desktop,automated,2020-09-19,772217
de.wikipedia.org,desktop,automated,2020-09-20,657696
de.wikipedia.org,desktop,automated,2020-09-21,1170435
de.wikipedia.org,desktop,automated,2020-09-22,1503281
de.wikipedia.org,desktop,automated,2020-09-23,1668413
de.wikipedia.org,desktop,automated,2020-09-24,1704378
de.wikipedia.org,desktop,automated,2020-09-25,1774735
de.wikipedia.org,desktop,automated,2020-09-26,992047
de.wikipedia.org,desktop,automated,2020-09-27,779540
de.wikipedia.org,desktop,automated,2020-09-28,1274573
de.wikipedia.org,desktop,automated,2020-09-29,1493105
de.wikipedia.org,desktop,automated,2020-09-30,1213986
de.wikipedia.org,desktop,automated,2020-10-01,1261540
de.wikipedia.org,desktop,automated,2020-10-02,1186439
de.wikipedia.org,desktop,automated,2020-10-03,647310
de.wikipedia.org,desktop,automated,2020-10-04,831553
de.wikipedia.org,desktop,automated,2020-10-05,969224
de.wikipedia.org,desktop,automated,2020-10-06,1097943
de.wikipedia.org,desktop,automated,2020-10-07,1170839
de.wikipedia.org,desktop,automated,2020-10-08,1051212
de.wikipedia.org,desktop,automated,2020-10-09,1199461
de.wikipedia.org,desktop,automated,2020-10-10,1207875
de.wikipedia.org,desktop,automated,2020-10-11,1159462
de.wikipedia.org,desktop,automated,2020-10-12,1467799
de.wikipedia.org,desktop,automated,2020-10-13,1900856
de.wikipedia.org,desktop,automated,2020-10-14,1466918
de.wikipedia.org,desktop,automated,2020-10-15,1296631
de.wikipedia.org,desktop,automated,2020-10-16,1101785
de.wikipedia.org,desktop,automated,2020-10-17,655979
de.wikipedia.org,desktop,automated,2020-10-18,580545
de.wikipedia.org,desktop,automated,2020-10-19,1013530
de.wikipedia.org,desktop,automated,2020-10-20,1267396
de.wikipedia.org,desktop,automated,2020-10-21,1046899
de.wikipedia.org,desktop,automated,2020-10-22,1000969
de.wikipedia.org,desktop,automated,2020-10-23,921561
de.wikipedia.org,desktop,automated,2020-10-24,765129
de.wikipedia.org,desktop,automated,2020-10-25,480572
de.wikipedia.org,desktop,automated,2020-10-26,788214
de.wikipedia.org,desktop,automated,2020-10-27,1209475
